#{"t_start": 1653844795.1450188, "env_id": null}
r,l,t,taskid,success
-19.980822,20,53.821784,7,0
-19.98201,20,53.821807,7,0
-19.976805,20,53.821831,7,0
-18.697449,20,53.821855,9,0
-19.716837,20,53.821878,9,0
-20.0,20,54.728216,5,0
0.0,1,55.748102,5,1
-19.03018,20,55.748231,8,0
-1.4799232,3,56.752115,9,1
-3.56224,5,60.459511,8,1
-5.835829,7,60.459601,9,1
-20.0,20,62.128334,5,0
-1.0,2,63.658021,5,1
-18.876432,20,63.663693,8,0
-19.171387,20,63.66388,8,0
0.0,1,64.371986,5,1
-20.0,20,64.372064,5,0
-1.9113153,3,65.819163,8,1
-2.8719974,4,66.528468,8,1
-13.568489,17,67.865182,0,1
-18.070168,20,68.524508,9,0
-17.930084,20,69.970576,0,0
-16.761513,20,69.970677,0,0
-19.10437,20,69.970709,0,0
-19.948322,20,69.970737,1,0
-19.939613,20,69.970763,1,0
-19.966747,20,69.970788,1,0
-19.962408,20,69.970813,1,0
-19.95486,20,69.970852,1,0
-19.951153,20,69.970877,1,0
-19.948427,20,69.970902,1,0
-19.962366,20,69.970927,1,0
-19.944468,20,69.970954,1,0
-19.977287,20,69.970979,1,0
-19.976316,20,69.971004,1,0
-19.986797,20,69.971031,2,0
-19.985909,20,69.971057,2,0
-19.986849,20,69.971082,2,0
-19.985228,20,69.971106,2,0
-19.991613,20,69.971131,2,0
-19.992159,20,69.971156,2,0
-19.981432,20,69.97118,2,0
-19.984905,20,69.971204,2,0
-19.990547,20,69.971229,2,0
-19.986807,20,69.971253,2,0
-19.989172,20,69.97128,2,0
-19.982311,20,69.971305,2,0
-19.986275,20,69.97133,2,0
-19.986576,20,69.971354,2,0
-19.99067,20,69.971379,2,0
-18.376514,20,69.971404,3,0
-14.717773,20,69.971428,3,0
-17.265049,20,69.971453,3,0
-17.77325,20,69.971478,4,0
-17.552654,20,69.971504,6,0
-19.058088,20,69.971529,6,0
-18.672619,20,69.971555,6,0
-19.983675,20,69.97158,7,0
-19.97832,20,69.971608,7,0
-19.982048,20,69.971647,7,0
-19.979347,20,69.971675,7,0
-19.987045,20,69.971699,7,0
-19.984938,20,69.971723,7,0
-19.982801,20,69.971747,7,0
-19.980402,20,69.971771,7,0
-19.978151,20,69.971795,7,0
-19.960346,20,69.971819,7,0
-19.989004,20,69.971843,7,0
-19.971094,20,69.971867,7,0
-19.979095,20,69.971891,7,0
-19.985266,20,69.971916,7,0
-19.969748,20,69.971942,7,0
-20.0,20,71.756268,5,0
-18.05951,20,72.653796,9,0
-19.381105,20,76.164103,8,0
-19.123348,20,76.164185,9,0
-7.9999347,9,79.166957,5,1
-19.99967,20,79.850919,5,0
-20.0,20,79.850997,5,0
0.0,1,80.5422,5,1
-19.681545,20,81.235056,8,0
-19.516405,20,81.910715,8,0
-15.743059,20,83.408356,0,0
-4.0,5,84.125258,5,1
-4.996851,6,84.125342,5,1
-18.12026,20,84.125385,9,0
0.0,1,84.859584,5,1
-16.38957,20,85.824153,0,0
-16.668612,20,85.824235,0,0
-12.608866,20,85.824269,0,0
-19.954363,20,85.824297,1,0
-19.932558,20,85.824323,1,0
-19.956688,20,85.824349,1,0
-19.836317,20,85.824374,1,0
-19.9676,20,85.824399,1,0
-19.963558,20,85.824424,1,0
-19.984838,20,85.824449,1,0
-19.634607,20,85.824478,1,0
-19.929237,20,85.824504,1,0
-19.960339,20,85.824529,1,0
-19.879923,20,85.824554,1,0
-19.984062,20,85.824579,2,0
-19.98503,20,85.824626,2,0
-19.989513,20,85.824654,2,0
-19.98729,20,85.824677,2,0
-19.983255,20,85.824699,2,0
-19.988485,20,85.824721,2,0
-19.97957,20,85.824742,2,0
-19.98288,20,85.824764,2,0
-19.991993,20,85.824785,2,0
-19.990507,20,85.824821,2,0
-19.984411,20,85.824843,2,0
-19.98914,20,85.824867,2,0
-19.986597,20,85.824888,2,0
-19.987051,20,85.824908,2,0
-19.989485,20,85.824929,2,0
-17.204897,20,85.82495,3,0
-17.245337,20,85.824971,3,0
-18.863428,20,85.824992,3,0
-17.713587,20,85.825013,4,0
-18.49198,20,85.825035,6,0
-17.81717,20,85.825056,6,0
-17.30357,20,85.825077,6,0
-19.98365,20,85.825101,7,0
-19.976017,20,85.825124,7,0
-19.967655,20,85.825146,7,0
-19.970306,20,85.825167,7,0
-19.98254,20,85.825189,7,0
-19.977016,20,85.825211,7,0
-19.986498,20,85.825233,7,0
-19.979641,20,85.825255,7,0
-19.97596,20,85.825276,7,0
-19.983963,20,85.825298,7,0
-19.986698,20,85.82532,7,0
-19.979824,20,85.825342,7,0
-19.858938,20,85.825363,7,0
-19.96277,20,85.825388,7,0
-19.97883,20,85.82541,7,0
-11.208323,13,85.825433,9,1
-2.0,3,87.726152,5,1
-18.627714,20,88.660968,9,0
-3.9999022,5,92.231217,5,1
-19.212484,20,92.231297,8,0
-20.0,20,95.618589,5,0
-0.9999996,2,97.204602,5,1
-17.98325,20,97.929428,8,0
-19.187897,20,98.646581,8,0
-17.195906,20,99.922183,0,0
-20.0,20,100.598424,5,0
-19.160698,20,100.598513,9,0
-17.104359,20,102.042562,0,0
-17.237522,20,102.042646,0,0
-17.546778,20,102.042682,0,0
-19.945993,20,102.042711,1,0
-19.930475,20,102.042739,1,0
-19.912445,20,102.042766,1,0
-19.957703,20,102.042793,1,0
-19.891447,20,102.04282,1,0
-19.951632,20,102.042848,1,0
-19.914768,20,102.042874,1,0
-19.952642,20,102.0429,1,0
-19.945724,20,102.042926,1,0
-19.950413,20,102.042953,1,0
-19.970499,20,102.042979,1,0
-19.984472,20,102.043005,2,0
-19.984484,20,102.043032,2,0
-19.987858,20,102.043059,2,0
-19.976631,20,102.043085,2,0
-19.981676,20,102.043112,2,0
-19.980783,20,102.043138,2,0
-19.983063,20,102.043164,2,0
-19.985083,20,102.04319,2,0
-19.996132,20,102.043216,2,0
-19.98699,20,102.043242,2,0
-19.987282,20,102.043268,2,0
-19.982616,20,102.043294,2,0
-19.988028,20,102.04332,2,0
-19.984264,20,102.043346,2,0
-19.981087,20,102.043372,2,0
-17.055779,20,102.043398,3,0
-18.491404,20,102.043424,3,0
-18.422888,20,102.04345,3,0
-18.270681,20,102.043477,4,0
-18.526724,20,102.043505,6,0
-16.214426,20,102.043532,6,0
-18.617996,20,102.04356,6,0
-19.98322,20,102.043587,7,0
-19.974283,20,102.043615,7,0
-19.98229,20,102.043642,7,0
-19.977766,20,102.043669,7,0
-19.984678,20,102.043697,7,0
-19.987165,20,102.043724,7,0
-19.992407,20,102.043751,7,0
-19.974487,20,102.043778,7,0
-19.993826,20,102.043806,7,0
-19.980293,20,102.043833,7,0
-19.986057,20,102.04386,7,0
-19.983473,20,102.043887,7,0
-19.982105,20,102.043914,7,0
-19.984959,20,102.043941,7,0
-19.974997,20,102.043969,7,0
-18.700918,20,102.043997,9,0
-18.319056,20,104.853182,9,0
-4.801113,7,106.643426,9,1
-19.886147,20,108.195346,5,0
-19.14816,20,108.195934,8,0
0.0,1,108.971944,5,1
-7.6025114,10,110.503015,9,1
-4.0,5,112.784977,5,1
-20.0,20,112.78506,5,0
0.0,1,113.477332,5,1
-19.168718,20,113.477418,8,0
-18.89031,20,114.216217,8,0
-16.950386,20,115.576068,0,0
-5.679039,7,115.576162,9,1
-20.0,20,116.201804,5,0
-4.0,5,116.875161,5,1
-0.9019879,2,116.875253,9,1
-17.233997,20,117.696491,0,0
-15.559403,20,117.696581,0,0
-16.604599,20,117.696614,0,0
-19.908396,20,117.696643,1,0
-19.980589,20,117.696673,1,0
-19.962437,20,117.6967,1,0
-19.945969,20,117.696725,1,0
-19.935928,20,117.69675,1,0
-19.866072,20,117.696775,1,0
-19.960516,20,117.6968,1,0
-19.918911,20,117.696825,1,0
-19.857058,20,117.69685,1,0
-19.94395,20,117.69688,1,0
-19.962965,20,117.696906,1,0
-19.98882,20,117.696931,2,0
-19.988728,20,117.696957,2,0
-19.988777,20,117.696982,2,0
-19.98128,20,117.697007,2,0
-19.980194,20,117.697032,2,0
-19.987904,20,117.697057,2,0
-19.991785,20,117.697086,2,0
-19.984066,20,117.697111,2,0
-19.987045,20,117.697136,2,0
-19.982178,20,117.697161,2,0
-19.994297,20,117.697186,2,0
-19.987,20,117.697214,2,0
-19.984396,20,117.697264,2,0
-19.981379,20,117.697288,2,0
-19.98657,20,117.69731,2,0
-18.613989,20,117.697332,3,0
-15.210903,20,117.697354,3,0
-18.117752,20,117.697376,3,0
-17.001337,20,117.697398,4,0
-1.0,2,117.69742,5,1
-18.99419,20,117.697443,6,0
-18.88139,20,117.697466,6,0
-17.340788,20,117.697489,6,0
-19.982616,20,117.697512,7,0
-19.987398,20,117.697538,7,0
-19.981289,20,117.697561,7,0
-19.986032,20,117.697584,7,0
-19.97688,20,117.697607,7,0
-19.97357,20,117.69763,7,0
-19.970505,20,117.697653,7,0
-19.956196,20,117.697676,7,0
-19.98002,20,117.697699,7,0
-19.98558,20,117.697722,7,0
-19.989317,20,117.697748,7,0
