#{"t_start": 1653729806.5974, "env_id": null}
r,l,t,taskid,success
-19.476362,20,31.98661,8,0
-19.973505,20,32.329503,5,0
-18.127764,20,32.329579,9,0
0.0,1,32.424764,5,1
0.0,1,32.552439,5,1
-0.90720737,2,32.552513,9,1
-18.578098,20,32.757073,0,0
-19.96388,20,32.757148,1,0
-19.992275,20,32.757178,2,0
-18.613667,20,32.757204,6,0
-19.991003,20,32.757227,7,0
-18.239792,20,33.247893,4,0
-19.297937,20,33.62988,3,0
-19.213825,20,33.723255,8,0
-20.0,20,34.052218,5,0
-19.880632,20,34.052296,9,0
0.0,1,34.157174,5,1
-17.206985,20,34.239691,0,0
-19.973244,20,34.239772,1,0
-19.993473,20,34.239805,2,0
-19.354048,20,34.239846,6,0
-19.975595,20,34.239872,7,0
-18.241413,20,34.698319,4,0
-19.13831,20,35.118804,3,0
-19.473652,20,35.192644,8,0
-18.191025,20,35.47917,9,0
-20.0,20,35.55206,5,0
-11.07959,20,35.642618,0,0
-19.954351,20,35.642692,1,0
-19.975939,20,35.642721,2,0
-16.185225,20,35.642748,6,0
-19.940218,20,35.642772,7,0
-18.348667,20,36.082468,4,0
-19.268145,20,36.33064,3,0
-19.154093,20,36.406661,8,0
-19.449963,20,36.916184,9,0
-20.0,20,37.007901,5,0
-18.2218,20,37.113745,0,0
-19.987116,20,37.11382,1,0
-19.994616,20,37.113849,2,0
-17.585703,20,37.113874,6,0
-19.985298,20,37.113897,7,0
-18.51332,20,37.52949,4,0
-17.290619,20,37.712534,3,0
-19.136536,20,37.782026,8,0
-19.949314,20,38.080376,9,0
-20.0,20,38.151478,5,0
-19.658716,20,38.222102,0,0
-19.978258,20,38.222178,1,0
-19.989876,20,38.222207,2,0
-16.78799,20,38.222232,6,0
-19.982676,20,38.222255,7,0
-18.509428,20,38.618292,4,0
-19.311493,20,38.793241,3,0
-19.35465,20,38.866425,8,0
-18.099348,20,39.377108,9,0
-20.0,20,39.433579,5,0
-19.407473,20,39.53012,0,0
-19.975119,20,39.530188,1,0
-19.992527,20,39.530217,2,0
0.0,1,39.530242,5,1
-18.586296,20,39.530264,6,0
-19.991837,20,39.530287,7,0
-1.0,2,39.746862,5,1
-18.560402,20,40.010052,4,0
-4.0,5,40.208456,5,1
-2.2577815,4,40.383655,4,1
-18.921164,20,40.504427,3,0
-19.36387,20,40.590078,8,0
-4.0,5,40.723887,5,1
-18.261967,20,41.243744,9,0
-18.325466,20,41.440774,0,0
-19.972286,20,41.440853,1,0
-19.996422,20,41.440884,2,0
-19.235931,20,41.440911,6,0
-19.992302,20,41.440936,7,0
-18.267443,20,42.188435,4,0
-19.133184,20,42.244065,3,0
-19.332876,20,42.310414,8,0
-20.0,20,42.368253,5,0
-0.9624819,2,42.556582,5,1
0.0,1,42.672155,5,1
0.0,1,42.764352,5,1
0.0,1,42.843168,5,1
-19.343266,20,42.887414,9,0
-15.7649,20,43.067451,0,0
-19.982077,20,43.067534,1,0
-19.992794,20,43.067567,2,0
-19.026674,20,43.067598,6,0
-19.990904,20,43.067626,7,0
-18.425556,20,44.000899,4,0
-17.71524,20,44.076342,3,0
-19.21076,20,44.135135,8,0
-20.0,20,44.578124,5,0
-18.774422,20,44.643098,9,0
-19.061302,20,44.854551,0,0
-19.966642,20,44.854642,1,0
-19.995104,20,44.854676,2,0
-2.0,3,44.854706,5,1
-16.122627,20,44.854771,6,0
-19.97604,20,44.854824,7,0
0.0,1,44.951708,5,1
0.0,1,45.035628,5,1
-4.8027596,7,45.316249,9,1
-4.0,5,45.535931,5,1
0.0,1,45.677277,5,1
-18.550835,20,45.792788,4,0
0.0,1,45.792873,5,1
-18.856224,20,45.961448,3,0
0.0,1,45.961543,5,1
-19.57569,20,46.065309,8,0
-17.109726,20,46.58833,0,0
-19.950327,20,46.588413,1,0
-19.982439,20,46.588446,2,0
-15.366108,20,46.588473,6,0
-19.976408,20,46.588499,7,0
-10.653044,20,47.092414,9,0
-18.456532,20,47.49937,4,0
-19.184679,20,47.589755,3,0
-20.0,20,47.589839,5,0
-19.268244,20,47.683121,8,0
-18.515175,20,48.300615,0,0
-19.936455,20,48.300694,1,0
-19.985523,20,48.300761,2,0
-19.240082,20,48.300802,6,0
-19.982788,20,48.300827,7,0
-17.21058,20,48.708483,9,0
-18.509127,20,48.952079,4,0
-18.03738,20,49.036291,3,0
-20.0,20,49.036367,5,0
-19.580698,20,49.142047,8,0
-18.60482,20,49.797419,0,0
-19.98314,20,49.797502,1,0
-19.996244,20,49.797534,2,0
-8.999996,10,49.797562,5,1
-18.73364,20,49.797588,6,0
-19.977678,20,49.797613,7,0
-1.0,2,50.073755,5,1
-19.891401,20,50.427953,9,0
-18.539299,20,50.785416,4,0
-19.209827,20,50.855943,3,0
-19.047855,20,50.957383,8,0
-6.582197,8,51.202588,9,1
-18.570448,20,51.596434,0,0
-19.965763,20,51.596516,1,0
-19.992393,20,51.596548,2,0
-19.224121,20,51.596577,6,0
-19.989698,20,51.596603,7,0
-20.0,20,51.80096,5,0
-18.424604,20,52.338124,4,0
-19.168026,20,52.410232,3,0
-19.293304,20,52.483329,8,0
-18.433578,20,52.643139,9,0
-18.764664,20,53.027011,0,0
-19.89849,20,53.027097,1,0
-19.973083,20,53.027131,2,0
-15.176846,20,53.027162,6,0
-19.987314,20,53.02719,7,0
-20.0,20,53.214868,5,0
-18.087763,20,53.857454,4,0
-19.202408,20,53.912808,3,0
-19.297762,20,53.989193,8,0
-19.861975,20,54.183357,9,0
-17.912737,20,54.829094,0,0
-19.968473,20,54.829192,1,0
-19.987745,20,54.829234,2,0
-18.619928,20,54.829269,6,0
-19.983696,20,54.829303,7,0
-20.0,20,55.042028,5,0
-3.1740227,5,55.269067,0,1
-18.461647,20,55.540011,4,0
-18.97343,20,55.622039,3,0
-19.070978,20,55.713844,8,0
-18.772867,20,55.915725,9,0
-1.9091016,3,56.035132,8,1
-19.969526,20,56.447568,1,0
-19.984163,20,56.447668,2,0
-19.36025,20,56.447705,6,0
-19.987818,20,56.447756,7,0
-20.0,20,56.681285,5,0
-19.435984,20,56.892966,0,0
-18.387594,20,57.182715,4,0
-19.043562,20,57.280539,3,0
-19.902422,20,57.546304,9,0
-18.64685,20,57.64254,8,0
-1.5007933,3,57.821323,9,1
-19.982586,20,58.153308,1,0
-19.982817,20,58.153403,2,0
-19.156084,20,58.153439,6,0
-19.987455,20,58.153469,7,0
-20.0,20,58.362549,5,0
0.0,1,58.44961,5,1
-18.391018,20,58.579795,0,0
-18.289734,20,58.918837,4,0
-18.420908,20,58.970141,3,0
-19.272074,20,59.2325,8,0
-19.66178,20,59.354633,9,0
-19.9601,20,59.601247,1,0
-19.998596,20,59.601336,2,0
-17.43532,20,59.601376,6,0
-19.992603,20,59.601409,7,0
-20.0,20,59.844146,5,0
-18.754456,20,59.998078,0,0
-18.441832,20,60.356746,4,0
-18.897888,20,60.419959,3,0
-19.362883,20,60.743627,8,0
-18.470589,20,60.949255,9,0
-0.90038836,2,61.152481,9,1
-19.981758,20,61.291494,1,0
-19.992052,20,61.291583,2,0
-19.11453,20,61.291622,6,0
-19.975586,20,61.291654,7,0
-19.999975,20,61.526507,5,0
-18.545444,20,61.716595,0,0
-1.9818761,3,61.821043,5,1
0.0,1,61.934243,5,1
-18.309229,20,62.082214,4,0
-14.89223,20,62.166597,3,0
-19.233316,20,62.446503,8,0
-7.0,8,62.560265,5,1
-19.933756,20,62.788758,9,0
-19.974115,20,62.914222,1,0
-19.989265,20,62.914348,2,0
-18.567541,20,62.914392,6,0
-19.98911,20,62.914425,7,0
-18.226513,20,63.217602,0,0
-18.371597,20,63.409968,4,0
-18.605892,20,63.483072,3,0
-19.30532,20,63.705655,8,0
-20.0,20,63.811691,5,0
-19.998932,20,63.978035,9,0
-19.975136,20,64.108695,1,0
-19.995512,20,64.10878,2,0
-18.46645,20,64.108813,6,0
-19.97716,20,64.108841,7,0
-17.458313,20,64.535972,0,0
-18.557226,20,64.764985,4,0
-18.376509,20,64.832026,3,0
-19.535692,20,65.158119,8,0
-20.0,20,65.228166,5,0
-19.981611,20,65.341665,9,0
-19.979448,20,65.530682,1,0
-19.989983,20,65.530762,2,0
-18.948088,20,65.530799,6,0
-19.982977,20,65.530829,7,0
-19.52317,20,66.063363,0,0
-17.88715,20,66.234699,4,0
-17.989668,20,66.279415,3,0
-19.429226,20,66.516886,8,0
-20.0,20,66.607816,5,0
0.0,1,66.710638,5,1
-1.9279276,3,66.833715,8,1
-1.0,2,66.929001,5,1
-19.016724,20,66.929088,9,0
0.0,1,67.024671,5,1
-19.953335,20,67.142052,1,0
-19.992357,20,67.142124,2,0
-19.007967,20,67.142154,6,0
-19.991179,20,67.142179,7,0
-3.846107,5,67.523127,9,1
-18.964466,20,67.707147,0,0
-18.013142,20,67.957689,4,0
-19.312681,20,68.051484,3,0
-19.157372,20,68.564466,8,0
-20.0,20,68.68636,5,0
-19.94962,20,68.759654,1,0
-19.985376,20,68.759725,2,0
-16.284464,20,68.759756,6,0
-19.979967,20,68.759783,7,0
-2.0,3,68.958602,5,1
-18.64486,20,69.030145,9,0
-18.111307,20,69.160578,0,0
-18.198013,20,69.399011,4,0
-18.862726,20,69.459814,3,0
-19.129305,20,69.91794,8,0
-19.968721,20,70.127375,1,0
-19.991213,20,70.127504,2,0
-17.62301,20,70.127548,6,0
-19.989275,20,70.127573,7,0
-20.0,20,70.350696,5,0
0.0,1,70.450418,5,1
-19.68098,20,70.4505,9,0
-16.84257,20,70.654568,0,0
-0.99783224,2,70.654697,5,1
0.0,1,70.777797,5,1
-18.514458,20,70.978823,4,0
-16.682173,20,71.025496,3,0
-19.347761,20,71.744514,8,0
-19.969845,20,71.999308,1,0
-19.989405,20,71.999394,2,0
-16.287582,20,71.999432,6,0
-19.983028,20,71.999468,7,0
-19.966625,20,72.433289,9,0
-17.057299,20,72.684376,0,0
-20.0,20,72.823125,5,0
0.0,1,72.963467,5,1
0.0,1,73.072896,5,1
-18.272335,20,73.195662,4,0
0.0,1,73.195747,5,1
-14.569885,20,73.283236,3,0
-18.996183,20,74.196421,8,0
-19.973387,20,74.806197,1,0
-19.98506,20,74.806528,2,0
-15.753909,20,74.806683,6,0
-19.927748,20,74.806769,7,0
-19.74658,20,75.313353,9,0
-16.193579,20,75.542238,0,0
-18.502792,20,75.878557,4,0
